POSTCODE,2011,2012,2013,2014,2015,2016,2017,2018,2019
11201,55537.0,57346.5,55054.0,56325.0,59136.0,64234.5,72530.0,84652.0,97044.0
11203,19340.0,19730.0,20220.0,20940.0,21795.0,22725.0,23328.0,24124.0,25048.0
11204,28946.0,29444.0,29997.0,31648.0,32933.0,34503.0,35665.0,36617.0,38330.0
11205,31653.0,34412.5,35077.0,36530.0,37449.0,41106.5,44089.0,47633.0,51901.0
11206,29632.0,29702.0,30428.0,30262.0,31358.0,33085.0,35089.0,38261.0,40482.0
11207,12526.0,12648.0,13390.5,14623.5,15400.0,15871.0,16610.5,18360.0,18882.0
11208,16471.0,16920.0,17583.0,18163.0,19108.0,19588.0,20242.0,21302.0,22062.0
11209,32970.0,33591.0,34380.0,35514.0,37333.0,39412.0,40474.0,41486.0,43195.0
11210,24008.0,24883.0,25389.5,26374.0,27508.0,28583.5,29714.0,30356.0,31648.0
11211,32405.0,31096.0,33552.5,33855.0,34811.5,37755.0,41287.0,44706.0,48816.0
11212,17971.0,18656.0,18938.0,19767.0,20460.0,21349.0,21840.0,22584.0,23662.0
11213,21326.0,22132.0,22915.0,23588.0,24330.0,25603.0,26572.0,27974.0,28944.0
11214,28045.5,28857.5,29582.0,30300.0,31680.0,33177.0,34153.0,35470.0,36547.0
11215,27119.0,27943.0,28962.0,30380.0,31739.0,33516.0,35349.0,37075.0,38987.0
11216,18247.0,18759.0,19531.0,20326.0,21400.0,22480.0,23223.0,24661.0,26092.0
11217,33182.0,34219.0,35830.0,37695.0,40316.0,42360.5,43995.0,46283.0,52770.0
11218,23902.5,24307.0,25154.0,26265.0,26963.0,28514.0,29664.0,30844.0,32040.0
11219,30854.0,31795.0,32385.5,34003.0,35389.0,37024.0,38006.0,39412.0,41491.0
11220,24909.0,25642.0,26679.0,27786.0,28837.0,30057.0,31296.0,32494.0,34038.0
11221,13310.0,13884.0,14415.0,15078.0,16062.0,16950.0,17464.0,18900.0,20124.0
11222,25144.0,26830.5,26872.0,28343.5,30841.0,32685.5,35060.5,38117.0,43130.0
11223,27141.0,27768.0,28365.0,29559.0,30753.0,32176.0,33231.0,34038.0,35830.0
11224,17457.0,17971.0,19848.0,20772.0,21969.5,22313.5,23460.0,25462.0,26836.0
11225,23185.0,23756.0,24883.0,25495.0,26558.0,28110.0,28862.0,30007.0,31123.0
11226,23127.0,23638.0,24330.0,25404.0,26541.0,27644.0,28573.0,29527.0,31351.0
11228,28365.0,28962.0,29859.0,31104.0,32546.0,34038.0,34754.0,35830.0,37621.0
11229,24175.0,25021.0,25627.0,26100.0,26868.0,27986.0,29192.0,30286.0,31548.0
11230,30648.0,31839.0,32761.0,33921.0,35112.0,37024.0,38640.0,39412.0,41171.0
11231,27930.0,28962.0,30753.0,31365.5,32433.0,34638.0,36181.0,38470.0,40807.0
11232,19801.0,20520.0,21594.0,22394.0,23189.5,24358.0,25578.0,26998.0,28133.5
11233,15260.0,15909.0,16351.0,17017.0,17616.0,18838.0,19407.0,20235.0,21307.0
11234,23322.0,24052.0,24606.0,24480.0,25080.0,26100.0,27180.0,28200.0,29226.0
11235,27648.0,28780.5,29306.0,28822.0,29859.0,30720.0,32275.0,34038.0,35523.0
11236,23385.0,24052.0,24295.0,23223.0,23589.0,24000.0,25122.0,26292.0,27370.0
11237,28644.0,29702.0,30143.5,32449.0,35009.0,36792.0,38612.0,41700.0,45030.0
11238,27115.5,28464.0,30871.5,32678.0,34347.0,36854.0,40188.0,43057.0,48232.0
11239,14217.0,17023.0,17940.0,17180.0,17871.0,17888.0,17779.0,20093.0,20232.0
11242,24422.0,25886.0,26126.0,26126.0,27648.0,29306.0,31063.0,31351.0,31351.0
11416,21099.0,21795.0,21942.0,22394.0,23154.0,24542.5,25902.0,26541.0,26872.0